Type,Region,Name,Data Type,Price(USD),Variant Price,Code,GBs,Validity(Days),Slug,Coverage,ID,Billing starts,Pre-Install Days,Speed,Support TopUp Type,Breakout IP
Single,China mainland,China 1GB/Day,Daily Unlimited,$0.65 ,$1.30 ,CN,1,1,CN_1_Daily,CN,P92TALXP8,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Japan,Japan 10GB/Day,Daily Unlimited,$5.00 ,$10.00 ,JP,10,1,JP_10_Daily,JP,PGURVYHQ1,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Philippines,Philippines 10GB/Day,Daily Unlimited,$9.00 ,$18.00 ,PH,10,1,PH_10_Daily,PH,P08FIDBBQ,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Singapore,Singapore 10GB/Day,Daily Unlimited,$9.00 ,$18.00 ,SG,10,1,SG_10_Daily,SG,P3LR5JXFO,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,South Korea,South Korea 10GB/Day,Daily Unlimited,$5.00 ,$10.00 ,KR,10,1,KR_10_Daily,KR,P2XI9YHJG,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Vietnam,Vietnam 10GB/Day,Daily Unlimited,$6.60 ,$13.20 ,VN,10,1,VN_10_Daily,VN,PUHL77M18,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Afghanistan,Afghanistan  1GB 7Days,Data in Total,$4.50 ,$9.00 ,AF,1,7,AF_1_7,AF,PC2G2GAZG,First Network Connection,180,3G,Data Reloadable for same area within validitity,UK
Single,Afghanistan,Afghanistan 10GB/Day,Daily Unlimited,$26.84 ,$53.68 ,AF,10,1,AF_10_Daily,AF,PCMSSEM7B,First Network Connection,180,3G,Non-reloadable,UK
Single,Afghanistan,Afghanistan 1GB/Day,Daily Unlimited,$4.00 ,$8.00 ,AF,1,1,AF_1_Daily,AF,PDIRBQAQE,First Network Connection,180,3G,Non-reloadable,UK
Single,Afghanistan,Afghanistan 2GB/Day,Daily Unlimited,$6.90 ,$13.80 ,AF,2,1,AF_2_Daily,AF,P65SRWG05,First Network Connection,180,3G,Non-reloadable,UK
Single,Afghanistan,Afghanistan 3GB 15Days,Data in Total,$11.80 ,$23.60 ,AF,3,15,AF_3_15,AF,PH204G43G,First Network Connection,180,3G,Data Reloadable for same area within validitity,UK
Single,Afghanistan,Afghanistan 500MB/Day,Daily Unlimited,$2.60 ,$5.20 ,AF,0,1,AF_0.5_Daily,AF,P6DHWL6WR,First Network Connection,180,3G,Non-reloadable,UK
Single,Aland Islands,Aland Islands 1GB/Day,Daily Unlimited,$1.28 ,$2.56 ,AX,1,1,AX_1_Daily,AX,PW5VRR4EF,First Network Connection,180,3G/4G/5G,Non-reloadable,NL/FR/US
Single,Aland Islands,Aland Islands 2GB/Day,Daily Unlimited,$2.30 ,$4.60 ,AX,2,1,AX_2_Daily,AX,P81F9RWO4,First Network Connection,180,3G/4G/5G,Non-reloadable,NL/FR/US
Single,Aland Islands,Aland Islands 500MB/Day,Daily Unlimited,$0.70 ,$1.40 ,AX,0,1,AX_0.5_Daily,AX,PF46GA1CH,First Network Connection,180,3G/4G/5G,Non-reloadable,NL/FR/US
Single,Albania,Albania 100MB 7Days,Data in Total,$0.30 ,$0.60 ,AL,0,7,AL_0.1_7,AL,PFRQ8FIBC,First Installation,180,3G/4G,Data Reloadable for same area within validitity,UK
